domain,dataset,method,records,chunks,path
biomedical,covidqa,standard,246,2,/content/drive/MyDrive/RAGBenchmark/chunks/biomedical/covidqa_standard.pkl
biomedical,covidqa,metadata,246,2,/content/drive/MyDrive/RAGBenchmark/chunks/biomedical/covidqa_metadata.pkl
biomedical,covidqa,small2big,246,2,/content/drive/MyDrive/RAGBenchmark/chunks/biomedical/covidqa_small2big.pkl
biomedical,pubmedqa,standard,2450,2,/content/drive/MyDrive/RAGBenchmark/chunks/biomedical/pubmedqa_standard.pkl
biomedical,pubmedqa,metadata,2450,2,/content/drive/MyDrive/RAGBenchmark/chunks/biomedical/pubmedqa_metadata.pkl
biomedical,pubmedqa,small2big,2450,2,/content/drive/MyDrive/RAGBenchmark/chunks/biomedical/pubmedqa_small2big.pkl
general,hotpotqa,standard,390,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/hotpotqa_standard.pkl
general,hotpotqa,metadata,390,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/hotpotqa_metadata.pkl
general,hotpotqa,small2big,390,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/hotpotqa_small2big.pkl
general,msmarco,standard,423,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/msmarco_standard.pkl
general,msmarco,metadata,423,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/msmarco_metadata.pkl
general,msmarco,small2big,423,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/msmarco_small2big.pkl
general,hagrid,standard,1318,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/hagrid_standard.pkl
general,hagrid,metadata,1318,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/hagrid_metadata.pkl
general,hagrid,small2big,1318,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/hagrid_small2big.pkl
general,expertqa,standard,203,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/expertqa_standard.pkl
general,expertqa,metadata,203,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/expertqa_metadata.pkl
general,expertqa,small2big,203,2,/content/drive/MyDrive/RAGBenchmark/chunks/general/expertqa_small2big.pkl
legal,cuad,standard,510,2,/content/drive/MyDrive/RAGBenchmark/chunks/legal/cuad_standard.pkl
legal,cuad,metadata,510,2,/content/drive/MyDrive/RAGBenchmark/chunks/legal/cuad_metadata.pkl
legal,cuad,small2big,510,2,/content/drive/MyDrive/RAGBenchmark/chunks/legal/cuad_small2big.pkl
support,delucionqa,standard,184,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/delucionqa_standard.pkl
support,delucionqa,metadata,184,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/delucionqa_metadata.pkl
support,delucionqa,small2big,184,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/delucionqa_small2big.pkl
support,emanual,standard,132,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/emanual_standard.pkl
support,emanual,metadata,132,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/emanual_metadata.pkl
support,emanual,small2big,132,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/emanual_small2big.pkl
support,techqa,standard,314,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/techqa_standard.pkl
support,techqa,metadata,314,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/techqa_metadata.pkl
support,techqa,small2big,314,2,/content/drive/MyDrive/RAGBenchmark/chunks/support/techqa_small2big.pkl
finance,finqa,standard,2294,2,/content/drive/MyDrive/RAGBenchmark/chunks/finance/finqa_standard.pkl
finance,finqa,metadata,2294,2,/content/drive/MyDrive/RAGBenchmark/chunks/finance/finqa_metadata.pkl
finance,finqa,small2big,2294,2,/content/drive/MyDrive/RAGBenchmark/chunks/finance/finqa_small2big.pkl
finance,tatqa,standard,3338,2,/content/drive/MyDrive/RAGBenchmark/chunks/finance/tatqa_standard.pkl
finance,tatqa,metadata,3338,2,/content/drive/MyDrive/RAGBenchmark/chunks/finance/tatqa_metadata.pkl
finance,tatqa,small2big,3338,2,/content/drive/MyDrive/RAGBenchmark/chunks/finance/tatqa_small2big.pkl
