domain,dataset_method,embedding,vectors,dimension,path
biomedical,covidqa_standard,bge_base,1,768,/content/drive/MyDrive/RAGBenchmark/embeddings/biomedical/covidqa_standard_bge_base.npz
biomedical,covidqa_metadata,bge_base,1,768,/content/drive/MyDrive/RAGBenchmark/embeddings/biomedical/covidqa_metadata_bge_base.npz
biomedical,covidqa_small2big,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/biomedical/covidqa_small2big_bge_base.npz
biomedical,pubmedqa_standard,bge_base,1,768,/content/drive/MyDrive/RAGBenchmark/embeddings/biomedical/pubmedqa_standard_bge_base.npz
biomedical,pubmedqa_metadata,bge_base,1,768,/content/drive/MyDrive/RAGBenchmark/embeddings/biomedical/pubmedqa_metadata_bge_base.npz
biomedical,pubmedqa_small2big,bge_base,1,768,/content/drive/MyDrive/RAGBenchmark/embeddings/biomedical/pubmedqa_small2big_bge_base.npz
general,hotpotqa_standard,bge_base,1,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/hotpotqa_standard_bge_base.npz
general,hotpotqa_metadata,bge_base,1,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/hotpotqa_metadata_bge_base.npz
general,hotpotqa_small2big,bge_base,1,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/hotpotqa_small2big_bge_base.npz
general,msmarco_standard,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/msmarco_standard_bge_base.npz
general,msmarco_metadata,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/msmarco_metadata_bge_base.npz
general,msmarco_small2big,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/msmarco_small2big_bge_base.npz
general,hagrid_standard,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/hagrid_standard_bge_base.npz
general,hagrid_metadata,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/hagrid_metadata_bge_base.npz
general,hagrid_small2big,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/hagrid_small2big_bge_base.npz
general,expertqa_standard,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/expertqa_standard_bge_base.npz
general,expertqa_metadata,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/expertqa_metadata_bge_base.npz
general,expertqa_small2big,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/general/expertqa_small2big_bge_base.npz
legal,cuad_standard,bge_base,4,768,/content/drive/MyDrive/RAGBenchmark/embeddings/legal/cuad_standard_bge_base.npz
legal,cuad_metadata,bge_base,4,768,/content/drive/MyDrive/RAGBenchmark/embeddings/legal/cuad_metadata_bge_base.npz
legal,cuad_small2big,bge_base,5,768,/content/drive/MyDrive/RAGBenchmark/embeddings/legal/cuad_small2big_bge_base.npz
support,delucionqa_standard,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/delucionqa_standard_bge_base.npz
support,delucionqa_metadata,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/delucionqa_metadata_bge_base.npz
support,delucionqa_small2big,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/delucionqa_small2big_bge_base.npz
support,emanual_standard,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/emanual_standard_bge_base.npz
support,emanual_metadata,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/emanual_metadata_bge_base.npz
support,emanual_small2big,bge_base,2,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/emanual_small2big_bge_base.npz
support,techqa_standard,bge_base,4,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/techqa_standard_bge_base.npz
support,techqa_metadata,bge_base,4,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/techqa_metadata_bge_base.npz
support,techqa_small2big,bge_base,5,768,/content/drive/MyDrive/RAGBenchmark/embeddings/support/techqa_small2big_bge_base.npz
finance,finqa_standard,bge_base,3,768,/content/drive/MyDrive/RAGBenchmark/embeddings/finance/finqa_standard_bge_base.npz
finance,finqa_metadata,bge_base,3,768,/content/drive/MyDrive/RAGBenchmark/embeddings/finance/finqa_metadata_bge_base.npz
finance,finqa_small2big,bge_base,3,768,/content/drive/MyDrive/RAGBenchmark/embeddings/finance/finqa_small2big_bge_base.npz
finance,tatqa_standard,bge_base,3,768,/content/drive/MyDrive/RAGBenchmark/embeddings/finance/tatqa_standard_bge_base.npz
finance,tatqa_metadata,bge_base,3,768,/content/drive/MyDrive/RAGBenchmark/embeddings/finance/tatqa_metadata_bge_base.npz
finance,tatqa_small2big,bge_base,3,768,/content/drive/MyDrive/RAGBenchmark/embeddings/finance/tatqa_small2big_bge_base.npz
