domain,index,vectors,dimension,path
biomedical,covidqa_small2big_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/biomedical/covidqa_small2big_bge_base.faiss
biomedical,covidqa_metadata_bge_base.faiss,1,768,/content/drive/MyDrive/RAGBenchmark/indexes/biomedical/covidqa_metadata_bge_base.faiss
biomedical,pubmedqa_small2big_bge_base.faiss,1,768,/content/drive/MyDrive/RAGBenchmark/indexes/biomedical/pubmedqa_small2big_bge_base.faiss
biomedical,pubmedqa_standard_bge_base.faiss,1,768,/content/drive/MyDrive/RAGBenchmark/indexes/biomedical/pubmedqa_standard_bge_base.faiss
biomedical,covidqa_standard_bge_base.faiss,1,768,/content/drive/MyDrive/RAGBenchmark/indexes/biomedical/covidqa_standard_bge_base.faiss
biomedical,pubmedqa_metadata_bge_base.faiss,1,768,/content/drive/MyDrive/RAGBenchmark/indexes/biomedical/pubmedqa_metadata_bge_base.faiss
general,msmarco_small2big_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/msmarco_small2big_bge_base.faiss
general,expertqa_small2big_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/expertqa_small2big_bge_base.faiss
general,hagrid_small2big_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/hagrid_small2big_bge_base.faiss
general,expertqa_standard_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/expertqa_standard_bge_base.faiss
general,expertqa_metadata_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/expertqa_metadata_bge_base.faiss
general,hagrid_metadata_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/hagrid_metadata_bge_base.faiss
general,hagrid_standard_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/hagrid_standard_bge_base.faiss
general,hotpotqa_standard_bge_base.faiss,1,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/hotpotqa_standard_bge_base.faiss
general,msmarco_standard_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/msmarco_standard_bge_base.faiss
general,msmarco_metadata_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/msmarco_metadata_bge_base.faiss
general,hotpotqa_small2big_bge_base.faiss,1,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/hotpotqa_small2big_bge_base.faiss
general,hotpotqa_metadata_bge_base.faiss,1,768,/content/drive/MyDrive/RAGBenchmark/indexes/general/hotpotqa_metadata_bge_base.faiss
legal,cuad_metadata_bge_base.faiss,4,768,/content/drive/MyDrive/RAGBenchmark/indexes/legal/cuad_metadata_bge_base.faiss
legal,cuad_standard_bge_base.faiss,4,768,/content/drive/MyDrive/RAGBenchmark/indexes/legal/cuad_standard_bge_base.faiss
legal,cuad_small2big_bge_base.faiss,5,768,/content/drive/MyDrive/RAGBenchmark/indexes/legal/cuad_small2big_bge_base.faiss
support,techqa_small2big_bge_base.faiss,5,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/techqa_small2big_bge_base.faiss
support,techqa_metadata_bge_base.faiss,4,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/techqa_metadata_bge_base.faiss
support,emanual_standard_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/emanual_standard_bge_base.faiss
support,techqa_standard_bge_base.faiss,4,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/techqa_standard_bge_base.faiss
support,delucionqa_small2big_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/delucionqa_small2big_bge_base.faiss
support,emanual_small2big_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/emanual_small2big_bge_base.faiss
support,emanual_metadata_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/emanual_metadata_bge_base.faiss
support,delucionqa_metadata_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/delucionqa_metadata_bge_base.faiss
support,delucionqa_standard_bge_base.faiss,2,768,/content/drive/MyDrive/RAGBenchmark/indexes/support/delucionqa_standard_bge_base.faiss
finance,tatqa_standard_bge_base.faiss,3,768,/content/drive/MyDrive/RAGBenchmark/indexes/finance/tatqa_standard_bge_base.faiss
finance,finqa_small2big_bge_base.faiss,3,768,/content/drive/MyDrive/RAGBenchmark/indexes/finance/finqa_small2big_bge_base.faiss
finance,finqa_standard_bge_base.faiss,3,768,/content/drive/MyDrive/RAGBenchmark/indexes/finance/finqa_standard_bge_base.faiss
finance,finqa_metadata_bge_base.faiss,3,768,/content/drive/MyDrive/RAGBenchmark/indexes/finance/finqa_metadata_bge_base.faiss
finance,tatqa_small2big_bge_base.faiss,3,768,/content/drive/MyDrive/RAGBenchmark/indexes/finance/tatqa_small2big_bge_base.faiss
finance,tatqa_metadata_bge_base.faiss,3,768,/content/drive/MyDrive/RAGBenchmark/indexes/finance/tatqa_metadata_bge_base.faiss
